City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lebu,CL,-37.6167,-73.65,55.29,71,100,14.41,overcast clouds
80,Hamilton,US,39.1834,-84.5333,72.99,66,40,11.5,scattered clouds
81,Andenes,NO,69.3143,16.1194,35.58,93,75,14.97,light intensity drizzle
82,Rawson,AR,-43.3002,-65.1023,51.82,55,97,4.85,overcast clouds
83,Tasiilaq,GL,65.6145,-37.6368,30.27,73,98,11.74,overcast clouds
84,Arani,IN,12.6667,79.2833,86.9,68,74,13.49,broken clouds
85,East London,ZA,-33.0153,27.9116,68.94,64,0,11.5,clear sky
86,Saskylakh,RU,71.9167,114.0833,8.74,98,63,5.19,broken clouds
87,Shache,CN,38.4167,77.2406,68.59,14,43,8.99,scattered clouds
88,Clyde River,CA,70.4692,-68.5914,14.23,79,100,16.11,light snow
89,Hingatungan,PH,10.584,125.1852,80.22,81,34,8.46,scattered clouds
90,Hohhot,CN,40.8106,111.6522,52.09,37,0,4.47,clear sky
91,Ginda,IN,30.6945,78.4932,61.27,64,99,5.7,overcast clouds
92,Albany,US,42.6001,-73.9662,63.18,33,4,1.99,clear sky
93,Sitka,US,57.0531,-135.33,42.85,91,100,6.93,light rain
94,Biak,ID,-0.9131,122.8766,77.0,87,86,5.59,overcast clouds
95,Kutum,SD,14.2,24.6667,93.96,6,74,14.27,broken clouds
96,Te Anau,NZ,-45.4167,167.7167,47.53,92,31,2.42,scattered clouds
97,Mantua,IT,45.1667,10.7833,72.64,76,60,4.14,broken clouds
98,Saint-Augustin,CA,51.226,-58.6502,38.16,83,100,22.64,overcast clouds
99,Sochi,RU,43.6,39.7303,53.69,97,100,2.19,light rain
100,Naze,JP,28.3667,129.4833,63.52,62,100,10.76,overcast clouds
101,Sambava,MG,-14.2667,50.1667,78.3,85,20,7.07,few clouds
102,Cape Town,ZA,-33.9258,18.4232,67.1,70,0,16.11,clear sky
103,Hilo,US,19.7297,-155.09,74.28,100,100,10.0,heavy intensity rain
104,Lorengau,PG,-2.0226,147.2712,81.37,76,7,4.74,clear sky
105,Terra Rica,BR,-22.7094,-52.6169,82.96,52,20,10.45,few clouds
106,Udachnyy,RU,66.4167,112.4,2.97,90,13,4.83,few clouds
107,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,3.44,scattered clouds
108,Thinadhoo,MV,0.5333,72.9333,85.91,70,79,16.49,broken clouds
109,Nabire,ID,-3.3667,135.4833,76.15,92,99,3.33,overcast clouds
110,Sioux Lookout,CA,50.1001,-91.917,37.47,93,100,6.91,moderate rain
111,Butaritari,KI,3.0707,172.7902,80.55,80,99,11.79,light rain
112,Chokurdakh,RU,70.6333,147.9167,17.58,93,46,7.78,scattered clouds
113,Kirakira,SB,-10.4544,161.9205,79.41,83,100,5.57,light rain
114,Great Falls,US,47.5002,-111.3008,47.59,82,100,6.91,overcast clouds
115,Beloha,MG,-25.1667,45.05,69.01,81,11,5.66,few clouds
116,Yulara,AU,-25.2406,130.9889,60.64,67,100,6.91,overcast clouds
117,Columbia,US,34.0007,-81.0348,81.57,57,0,6.91,clear sky
118,Narsaq,GL,60.9167,-46.05,42.69,74,64,4.68,broken clouds
119,San Patricio,US,28.017,-97.5169,85.15,63,64,15.03,broken clouds
120,Upernavik,GL,72.7868,-56.1549,13.37,62,90,4.14,overcast clouds
121,Esperance,AU,-33.8667,121.9,57.04,69,0,5.44,clear sky
122,Tual,ID,-5.6667,132.75,83.25,75,85,9.73,overcast clouds
123,Lagoa,PT,39.05,-27.9833,61.74,76,25,1.01,scattered clouds
124,Pisco,PE,-13.7,-76.2167,69.03,77,0,6.91,clear sky
125,Ilulissat,GL,69.2167,-51.1,20.34,59,10,3.89,clear sky
126,Yar-Sale,RU,66.8333,70.8333,14.9,89,28,7.11,scattered clouds
127,Kaitangata,NZ,-46.2817,169.8464,49.46,96,25,3.74,scattered clouds
128,Hobart,AU,-42.8794,147.3294,61.27,74,75,6.91,broken clouds
129,Tiksi,RU,71.6872,128.8694,16.09,90,87,13.24,overcast clouds
130,Torres,BR,-29.3353,-49.7269,70.83,94,100,7.2,overcast clouds
131,Roald,NO,62.5833,6.1333,52.16,76,20,20.71,few clouds
132,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,76,40,18.41,scattered clouds
133,Kavaratti,IN,10.5669,72.642,85.1,71,20,10.31,few clouds
134,Touros,BR,-5.1989,-35.4608,85.53,66,80,17.13,broken clouds
135,Souillac,MU,-20.5167,57.5167,77.38,88,40,3.44,scattered clouds
136,Ust-Nera,RU,64.5667,143.2,21.94,98,83,4.83,broken clouds
137,Dingle,PH,10.9995,122.6711,77.68,80,98,5.84,overcast clouds
138,Baykit,RU,61.67,96.37,21.51,93,5,3.13,clear sky
139,Teya,RU,60.3778,92.6267,23.59,96,75,1.9,broken clouds
140,Norman Wells,CA,65.282,-126.8329,41.04,52,20,11.5,few clouds
141,Harindanga,IN,22.0383,88.3214,83.71,76,93,6.11,overcast clouds
142,Fairbanks,US,64.8378,-147.7164,40.08,70,0,6.91,clear sky
143,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,61,0,11.5,clear sky
144,Kahului,US,20.8947,-156.47,74.84,92,100,4.0,light rain
145,Isangel,VU,-19.55,169.2667,78.91,83,100,4.61,overcast clouds
146,Sebinkarahisar,TR,40.2883,38.4236,47.05,80,100,3.67,overcast clouds
147,Burns Lake,CA,54.2331,-125.7533,33.22,76,100,3.83,overcast clouds
148,Lavrentiya,RU,65.5833,-171.0,10.67,91,51,10.45,broken clouds
