City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
288,Tefe,BR,89.71,scattered clouds,-3.3542,-64.7114,Aracati Hotel
289,Ushtobe,KZ,75.99,overcast clouds,45.2514,77.9838,Filipin Squad
291,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
292,Qui Nhon,VN,77.2,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
293,Kavaratti,IN,85.01,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
294,Caravelas,BR,83.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
296,Dondo,MZ,78.31,scattered clouds,-19.6094,34.7431,Arco Iris
297,Texiguat,HN,87.96,overcast clouds,13.6497,-87.0225,Hotel Yolutepe
298,Kencong,ID,77.02,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
302,Port Blair,IN,83.57,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
303,Savannah Bight,HN,82.08,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
306,Samarai,PG,79.92,scattered clouds,-10.6167,150.6667,Nuli Sapi
308,Alugan,PH,79.2,overcast clouds,12.2188,125.4808,JM Lodge
310,Omidiyeh,IR,84.07,clear sky,30.7597,49.705,Royal Complex
313,Cacoal,BR,84.09,broken clouds,-11.4386,-61.4472,Hotel BR 364
322,Garowe,SO,89.44,overcast clouds,8.4054,48.4845,Curubo Hotel
328,Emilio Carranza,MX,87.1,clear sky,19.9711,-96.6114,Hotel Carranza Inn
330,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
332,Antalaha,MG,76.53,few clouds,-14.9003,50.2788,Hotel Vitasoa
334,Palauig,PH,81.68,overcast clouds,15.435,119.9045,Alperi Botique Resort
337,Dustlik,UZ,80.2,overcast clouds,40.5247,68.0358,Alperi Botique Resort
339,Banda Aceh,ID,81.03,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
342,Riberalta,BO,89.8,scattered clouds,-10.9833,-66.1,Hotel Colonial
351,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
354,Ouesso,CG,84.16,overcast clouds,1.6136,16.0517,ABENIE Hotel
363,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
368,Male,MV,85.62,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
370,San Ignacio,BZ,89.22,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
374,Mana,GF,83.23,broken clouds,5.6592,-53.7767,LE SAMANA
375,Tautira,PF,79.47,broken clouds,-17.7333,-149.15,Pension Oaoa
377,Matara,LK,79.32,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
378,Boende,CD,75.6,broken clouds,-0.2167,20.8667,Amaloh Boutique Resort
381,Daru,PG,79.09,overcast clouds,-9.0763,143.2092,Daru Lodge
382,Bac Lieu,VN,83.23,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
383,Santa Cruz Del Sur,CU,87.89,light rain,20.7147,-77.9956,Khách sạn Sài Gòn Bạc Liêu
387,Thoen,TH,81.66,scattered clouds,17.6129,99.2161,บ้านห้องนอน
390,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
393,Sinnamary,GF,82.81,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
399,Kandrian,PG,77.09,light rain,-6.2167,149.55,Kandrian Station
403,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
409,Pecanha,BR,77.99,few clouds,-18.5486,-42.5569,PEÇANHA GRANDE HOTEL
410,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
411,Suriapet,IN,89.76,few clouds,17.15,79.6167,MNR Lodge and Restaurant
412,Bima,ID,75.96,scattered clouds,-8.4667,118.7167,Lambitu Hotel
417,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
420,Kamphaeng Phet,TH,84.43,light rain,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
421,Les Cayes,HT,80.26,overcast clouds,18.2,-73.75,Villa Orphee
426,Eirunepe,BR,89.69,broken clouds,-6.6603,-69.8736,Atrás de você
428,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
429,Bintulu,MY,79.23,scattered clouds,3.1667,113.0333,900 Boutique INN
434,Manuk Mangkaw,PH,82.63,scattered clouds,4.8,119.85,900 Boutique INN
436,Umm Lajj,SA,79.39,clear sky,25.0213,37.2685,Moon light Furnished Units
441,Bengkulu,ID,76.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
443,Canutama,BR,84.78,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
446,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
448,Doha,QA,89.91,clear sky,25.2867,51.5333,Movenpick Hotel Doha
452,Galesong,ID,78.82,broken clouds,-5.3166,119.3661,Sapriadi Appy
453,Urucara,BR,85.14,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
454,Tarakan,ID,80.6,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
456,Torremolinos,ES,78.91,scattered clouds,36.6204,-4.4998,Medplaya Hotel Bali
457,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
458,Eydhafushi,MV,85.55,broken clouds,5.1033,73.0708,Soneva Fushi
465,Itarema,BR,85.39,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
467,Minab,IR,82.72,clear sky,27.1467,57.0801,Bam campground
468,Omboue,GA,80.46,broken clouds,-1.5746,9.2618,Hotel Olako
472,Seydi,TM,84.67,overcast clouds,39.4816,62.9137,Seydi oteli
473,Sorong,ID,79.9,broken clouds,-0.8833,131.25,Waigo Splash Hotel
476,Dickinson,US,88.07,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
477,Porto Nacional,BR,89.6,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
480,Hambantota,LK,82.02,light rain,6.1241,81.1185,Bungalow 63
482,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
485,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
488,Vieques,PR,83.08,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
489,Zachary,US,81.86,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
491,Seguin,US,84.52,haze,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
500,Tikrit,IQ,80.37,clear sky,34.6071,43.6782,عماره العبطه
501,Laureles,US,89.64,broken clouds,26.1092,-97.4941,Los Fresnos Inn
502,Caibarien,CU,85.32,clear sky,22.5206,-79.4669,La Nena
503,Brawley,US,82.65,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
513,Bambari,CF,80.29,scattered clouds,5.768,20.6757,Hotel-Restaurant BIBICH
514,El Alto,PE,76.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
516,Mount Pleasant,US,83.08,few clouds,32.7941,-79.8626,Best Western Patriots Point
523,Mapimi,MX,81.86,overcast clouds,25.8167,-103.85,Propiedad Lldm
525,Maracaju,BR,88.77,scattered clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
529,Hinesville,US,84.13,few clouds,31.8469,-81.5959,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
540,Gouyave,GD,84.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
544,Manokwari,ID,78.06,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
547,Montes Claros,BR,83.98,scattered clouds,-16.735,-43.8617,ibis Montes Claros Shopping
548,Samana,DO,79.02,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
554,Mabaruma,GY,87.08,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
557,Boyolangu,ID,76.51,light rain,-8.1181,111.8935,Yos ega cv
560,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
561,Isabela,PH,79.27,overcast clouds,6.7085,121.9711,Isawad Resort
562,Tulum,MX,84.24,clear sky,20.2167,-87.4667,Kin Ha Tulum
563,San Fernando,PH,85.73,overcast clouds,15.0286,120.6898,Maharlika Hostel
567,Sawakin,SD,86.4,clear sky,19.1059,37.3321,فندق الدويم
568,Pedasi,PA,82.62,overcast clouds,7.5333,-80.0333,Selina Pedasi
576,Jacqueville,CI,83.07,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
